date,Aapl_open,Aapl_high,Aapl_low,Aapl_close,Aapl_volume,Aapl_Real Middle Band,Aapl_Real Lower Band,Aapl_Real Upper Band,Aapl_MACD,Aapl_MACD_Hist,Aapl_MACD_Signal,Aapl_RSI,Aapl_CCI,Aapl_Aroon Up,Aapl_Aroon Down,Googl_open,Googl_high,Googl_low,Googl_close,Googl_volume,Googl_Real Middle Band,Googl_Real Lower Band,Googl_Real Upper Band,Googl_MACD_Signal,Googl_MACD_Hist,Googl_MACD,Googl_RSI,Googl_CCI,Googl_Aroon Up,Googl_Aroon Down
2020-10-30,111.06,111.99,107.72,108.86,190573476.0,116.363,109.4557,123.2703,-0.6941,-0.8856,0.1915,40.3645,-192.1372,7.1429,100.0,1667.44,1681.315,1601.57,1616.11,4996197.0,1548.938,1448.0621,1649.8139,18.2554,2.6636,20.9191,58.2647,135.4993,100.0,85.7143
2020-10-29,112.37,116.93,112.2,115.32,146129173.0,116.5707,110.3891,122.7523,-0.1556,-0.5685,0.4129,49.0444,-59.0527,14.2857,92.8571,1517.02,1588.735,1516.55,1556.88,2770343.0,1540.9125,1437.1903,1644.6347,17.5895,0.2286,17.8181,51.9046,19.7087,71.4286,0.0
2020-10-28,115.05,115.43,111.1,111.2,143937823.0,116.644,110.4983,122.7898,-0.1227,-0.6778,0.555,41.6082,-130.6859,21.4286,100.0,1550.01,1553.81,1508.48,1510.8,2258675.0,1537.4635,1431.5306,1643.3964,17.5324,2.0992,19.6316,45.9549,-19.6421,78.5714,0.0
2020-10-27,115.49,117.28,114.5399,116.6,92276772.0,116.8741,111.2688,122.4795,0.3398,-0.3846,0.7245,50.5943,-30.7556,28.5714,92.8571,1588.9319,1602.0,1576.99,1598.88,1295138.0,1535.2035,1425.2397,1645.1673,17.0076,9.345,26.3526,58.8842,77.7408,85.7143,0.0
2020-10-26,114.01,116.55,112.88,115.05,111850657.0,116.7489,110.9965,122.5012,0.3764,-0.4442,0.8206,47.5767,-66.8829,35.7143,0.0,1615.0,1629.58,1567.78,1584.29,1791317.0,1528.5605,1418.734,1638.387,14.6713,10.9082,25.5795,57.0244,85.8335,92.8571,7.1429
2020-10-23,116.39,116.55,114.28,115.04,82572645.0,116.7444,110.986,122.5027,0.5751,-0.3566,0.9317,47.5575,-51.6393,42.8571,7.1429,1615.05,1634.12,1611.91,1632.98,1527402.0,1522.279,1411.5537,1633.0043,11.9443,13.7619,25.7062,66.3204,136.8696,100.0,14.2857
2020-10-22,117.45,118.04,114.59,115.75,101987954.0,116.6066,110.5487,122.6645,0.8215,-0.1994,1.0208,48.7336,-18.1879,50.0,0.0,1585.0,1613.42,1577.48,1606.66,1525773.0,1512.583,1408.5725,1616.5935,8.5038,12.0328,20.5366,63.3189,117.8781,92.8571,21.4286
2020-10-21,116.67,118.705,116.45,116.87,89945980.0,116.2307,109.1167,123.3448,1.0517,-0.019,1.0707,50.5652,23.5541,57.1429,7.1429,1569.85,1615.14,1567.135,1585.99,3016053.0,1503.393,1401.8041,1604.9819,5.4956,10.8237,16.3193,60.7693,120.5652,100.0,28.5714
2020-10-20,116.2,118.98,115.63,117.51,124423728.0,115.7441,107.5645,123.9237,1.2165,0.1411,1.0754,51.5942,31.5136,64.2857,14.2857,1523.11,1573.84,1520.5,1551.08,2085915.0,1494.563,1392.5273,1596.5987,2.7897,10.0141,12.8038,55.9698,78.1309,57.1429,35.7143
2020-10-19,119.96,120.419,115.66,115.98,120639337.0,115.4596,107.123,123.7962,1.3441,0.3039,1.0401,49.3041,36.5355,71.4286,21.4286,1575.93,1583.925,1522.92,1529.95,1486652.0,1490.0,1390.3477,1589.6523,0.2862,11.3987,11.6849,52.7187,84.6465,64.2857,42.8571
2020-10-16,121.28,121.548,118.81,119.02,115393808.0,115.1651,106.4855,123.8447,1.6429,0.6787,0.9642,54.0192,90.6929,78.5714,28.5714,1561.83,1577.71,1557.66,1567.7,1710325.0,1485.0095,1383.8739,1586.1451,-2.5635,14.8018,12.2383,60.0778,132.5729,71.4286,50.0
2020-10-15,118.72,121.2,118.15,120.71,112559219.0,114.5571,105.3011,123.8132,1.6913,0.8968,0.7945,56.8244,103.5064,85.7143,0.0,1544.5,1571.395,1541.1301,1555.47,1561485.0,1479.179,1384.5482,1573.8098,-6.264,15.1869,8.923,58.3278,139.466,78.5714,0.0
2020-10-14,121.0,123.03,119.62,121.19,151062308.0,114.0395,105.0162,123.0628,1.5568,0.9865,0.5703,57.6135,138.8949,92.8571,0.0,1574.6,1583.85,1545.895,1563.44,1659228.0,1475.7575,1387.6868,1563.8282,-10.0607,15.8675,5.8068,59.9172,184.4446,85.7143,0.0
2020-10-13,125.27,125.39,119.65,121.1,262330451.0,113.5873,105.1109,122.0637,1.3137,0.9901,0.3236,57.5108,177.1418,100.0,7.1429,1577.01,1585.16,1558.63,1567.07,1953609.0,1473.19,1392.838,1553.542,-14.0276,14.9612,0.9336,60.6157,215.9142,92.8571,7.1429
2020-10-12,120.06,125.18,119.2845,124.4,240226769.0,113.3098,105.4684,121.1511,0.9934,0.9173,0.0761,62.6831,220.665,100.0,14.2857,1538.0,1588.42,1529.3,1564.59,2767164.0,1471.5925,1397.7642,1545.4208,-17.7679,12.0982,-5.6697,60.3223,213.159,100.0,14.2857
2020-10-09,115.28,117.0,114.92,116.97,100506865.0,112.8583,106.7185,118.9981,0.2348,0.388,-0.1532,54.0416,85.2979,57.1429,0.0,1492.86,1511.85,1487.0,1510.45,1648340.0,1468.8045,1405.8192,1531.7898,-20.7924,7.0296,-13.7628,53.2629,87.1549,100.0,21.4286
2020-10-08,116.25,116.4,114.5901,114.97,83477153.0,112.6103,106.7269,118.4936,0.0183,0.2685,-0.2502,51.218,67.8799,64.2857,7.1429,1465.45,1488.0275,1465.45,1483.43,1303802.0,1469.07,1405.3444,1532.7956,-22.5498,4.1699,-18.38,49.063,22.3993,0.0,28.5714
2020-10-07,114.62,115.55,114.13,115.08,96848985.0,112.5364,106.7268,118.346,-0.0551,0.2623,-0.3173,51.3792,56.8356,71.4286,14.2857,1459.31,1468.97,1433.23,1459.14,1805448.0,1471.201,1403.0035,1539.3985,-23.5923,2.3376,-21.2547,44.9323,-42.6827,0.0,35.7143
2020-10-06,115.7,116.12,112.25,113.16,161498212.0,112.6482,106.5819,118.7144,-0.159,0.2239,-0.3829,48.7654,24.2791,78.5714,21.4286,1475.5,1484.52,1445.01,1451.02,1304752.0,1475.6055,1400.1053,1551.1057,-24.1767,2.0351,-22.1416,43.5103,-34.797,0.0,42.8571
2020-10-05,113.91,116.65,113.55,116.5,106243839.0,112.6312,106.5667,118.6957,-0.0943,0.3446,-0.4389,53.4028,66.1299,0.0,28.5714,1462.65,1484.7,1460.09,1482.83,1080058.0,1479.2345,1401.8561,1556.6129,-24.6855,2.5608,-22.1247,48.0212,-9.9552,7.1429,50.0
2020-10-02,112.89,115.37,112.22,113.02,144711986.0,112.8538,105.9926,119.7151,-0.3498,0.1752,-0.525,48.6812,10.7405,7.1429,35.7143,1459.63,1479.03,1447.35,1455.6,1561132.0,1484.1535,1394.8907,1573.4163,-25.3257,0.3055,-25.0202,43.353,-42.3519,0.0,57.1429
2020-10-01,117.64,117.72,115.83,116.79,116120440.0,113.2462,105.5856,120.9067,-0.317,0.2518,-0.5688,54.2065,67.0597,14.2857,42.8571,1483.6608,1495.07,1476.8,1487.9,1644221.0,1492.849,1384.5529,1601.1451,-25.402,-0.1774,-25.5795,48.1124,-12.7827,7.1429,64.2857
2020-09-30,113.79,117.26,113.62,115.81,142675184.0,113.9754,103.085,124.8658,-0.6538,-0.0221,-0.6318,52.9166,20.8596,0.0,50.0,1460.935,1486.1975,1455.755,1465.6,2046170.0,1504.3235,1358.4461,1650.2009,-25.3577,-3.8523,-29.21,44.184,-42.8292,0.0,71.4286
2020-09-29,114.55,115.31,113.57,114.09,100060526.0,114.8923,100.9464,128.8382,-0.9746,-0.3484,-0.6262,50.6512,-12.2949,7.1429,57.1429,1463.91,1472.0,1454.0,1466.02,1591112.0,1513.7975,1355.1571,1672.4379,-24.3946,-6.7538,-31.1484,44.2426,-54.9261,7.1429,78.5714
2020-09-28,115.01,115.32,112.78,114.96,137672403.0,115.6385,100.445,130.8321,-1.195,-0.6559,-0.5391,51.8223,-18.5277,14.2857,64.2857,1471.99,1472.99,1446.28,1458.66,1539236.0,1521.973,1357.2863,1686.6597,-22.7062,-10.5061,-33.2122,43.0132,-66.3287,14.2857,85.7143
2020-09-25,108.43,112.44,107.67,112.28,149981441.0,116.13,100.4534,131.8067,-1.5474,-1.1722,-0.3752,48.4103,-60.3791,0.0,71.4286,1425.05,1445.94,1407.68,1439.06,1516677.0,1531.0115,1361.4461,1700.5769,-20.0797,-14.5343,-34.6139,39.7268,-101.0272,0.0,92.8571
2020-09-24,105.17,110.25,105.0,108.22,167743349.0,116.7654,100.769,132.7619,-1.7023,-1.6202,-0.0821,42.702,-94.9721,0.0,78.5714,1402.68,1437.99,1402.15,1422.86,1727611.0,1540.4845,1371.3572,1709.6118,-16.4461,-17.4579,-33.9039,36.9356,-119.3237,0.0,100.0
2020-09-23,111.62,112.11,106.77,107.12,150718671.0,117.679,101.6947,133.6633,-1.4625,-1.7854,0.3229,41.0613,-93.4567,0.0,85.7143,1452.09,1453.08,1402.68,1409.39,1886299.0,1551.548,1385.7293,1717.3667,-12.0816,-18.7735,-30.8551,34.5971,-128.179,0.0,100.0
2020-09-22,112.68,112.86,109.16,111.81,183055373.0,118.5627,103.1065,134.019,-1.0234,-1.7926,0.7693,46.3115,-75.9532,7.1429,92.8571,1450.32,1463.97,1429.495,1459.82,1697542.0,1561.371,1407.56,1715.182,-7.3882,-17.7552,-25.1434,39.7171,-113.9719,7.1429,92.8571
2020-09-21,104.54,110.19,103.1,110.08,195713815.0,119.2639,103.8593,134.6684,-0.9247,-2.1421,1.2174,43.8525,-116.9903,14.2857,100.0,1431.62,1440.06,1402.68,1430.14,2845405.0,1567.6375,1420.8338,1714.4412,-2.9494,-19.6727,-22.6222,34.4126,-158.7858,14.2857,100.0
2020-09-18,110.4,110.88,106.09,106.84,287104882.0,119.9772,105.0615,134.8928,-0.6095,-2.3625,1.753,38.9933,-131.4216,21.4286,100.0,1488.3,1495.2,1431.62,1451.09,3152788.0,1574.909,1442.3523,1707.4657,1.9687,-18.0219,-16.0531,36.5188,-147.1849,21.4286,100.0
2020-09-17,109.72,112.2,108.71,110.34,178010968.0,120.5479,106.8947,134.2011,0.131,-2.2126,2.3436,42.7001,-119.3174,28.5714,100.0,1485.81,1498.66,1462.46,1487.04,2000356.0,1581.167,1461.3807,1700.9533,6.4742,-16.0425,-9.5683,40.4651,-137.8994,28.5714,100.0
2020-09-16,115.23,116.0,112.04,112.13,155026675.0,120.8158,107.7936,133.838,0.7186,-2.1782,2.8967,44.7189,-93.3365,35.7143,78.5714,1542.48,1554.37,1511.59,1512.09,1107169.0,1584.0455,1470.8601,1697.2309,10.4848,-15.2972,-4.8124,43.5071,-88.7054,35.7143,78.5714
2020-09-15,118.33,118.829,113.61,115.54,184642039.0,120.9872,108.3523,133.622,1.2761,-2.1652,3.4413,48.8004,-64.3181,42.8571,85.7143,1527.89,1550.99,1522.1,1535.12,1152055.0,1586.23,1477.0691,1695.3909,14.3091,-15.5318,-1.2227,46.4907,-76.5644,42.8571,85.7143
2020-09-14,114.72,115.93,112.8,115.355,140150087.0,120.9406,108.2164,133.6648,1.6225,-2.3601,3.9826,48.5639,-78.631,50.0,92.8571,1531.6471,1557.0,1505.11,1508.83,2133007.0,1585.286,1474.0663,1696.5057,18.1921,-17.1601,1.0319,42.296,-91.8866,50.0,92.8571
2020-09-11,114.57,115.23,110.0,112.0,180860325.0,120.9183,108.152,133.6845,2.0598,-2.5128,4.5726,44.2255,-105.5451,57.1429,100.0,1528.15,1538.695,1493.02,1515.76,1535337.0,1585.076,1473.2654,1696.8866,22.4821,-15.9106,6.5715,43.1235,-100.7102,57.1429,100.0
2020-09-10,120.36,120.5,112.5,113.49,182274391.0,121.0685,108.6693,133.4678,2.9291,-2.2718,5.2008,45.8193,-71.7384,64.2857,78.5714,1550.18,1573.66,1520.0,1526.05,1651194.0,1585.1205,1473.4196,1696.8214,26.4598,-13.619,12.8408,44.3189,-66.1011,64.2857,85.7143
2020-09-09,117.26,119.14,115.26,117.32,176940455.0,121.0446,108.5836,133.5055,3.8445,-1.9243,5.7688,50.1313,-46.877,71.4286,85.7143,1548.9,1558.72,1525.17,1547.23,1962078.0,1584.18,1470.2118,1698.1482,29.8645,-10.2563,19.6082,46.7985,-55.2951,71.4286,92.8571
2020-09-08,113.95,118.99,112.68,112.82,231366563.0,120.648,107.2433,134.0527,4.5677,-1.6821,6.2498,44.4252,-67.3128,78.5714,92.8571,1525.0,1555.55,1516.5,1523.6,2701586.0,1580.8455,1459.1102,1702.5808,32.4286,-6.6244,25.8041,43.5251,-64.5016,78.5714,100.0
2020-09-04,120.07,123.7,110.89,120.96,332607163.0,120.6434,107.2276,134.0592,5.8818,-0.7886,6.6703,54.9949,-23.9061,85.7143,100.0,1609.0,1634.99,1537.9701,1581.21,2792533.0,1579.5065,1454.7309,1704.2821,34.0847,1.6584,35.7431,50.5689,8.3764,85.7143,0.0
2020-09-03,126.91,128.84,120.5,120.88,257599640.0,120.1519,106.0834,134.2203,6.6461,-0.2214,6.8675,54.8969,31.7355,92.8571,0.0,1699.52,1700.0,1607.71,1629.51,3186287.0,1575.3645,1445.6865,1705.0425,33.6701,8.373,42.0431,57.8584,86.7156,92.8571,0.0
2020-09-02,137.59,137.98,127.0,131.4,200118991.0,119.7931,105.4331,134.1531,7.533,0.6102,6.9228,74.7614,124.4356,100.0,7.1429,1668.01,1726.1022,1660.19,1717.39,2476072.0,1569.1365,1438.4976,1699.7754,31.5769,12.978,44.5549,76.4857,164.0611,100.0,7.1429
2020-09-01,132.76,134.8,130.53,134.18,152470142.0,118.718,104.7116,132.7243,7.4862,0.7159,6.7703,82.0464,154.0668,100.0,0.0,1632.16,1659.22,1629.53,1655.08,1133766.0,1557.2215,1440.0699,1674.3731,28.3324,9.8326,38.165,70.1608,121.0651,100.0,0.0
2020-08-31,127.58,131.0,126.0,129.04,223505733.0,117.4842,104.7748,130.1937,7.0351,0.4438,6.5913,78.4394,131.9493,100.0,0.0,1643.57,1644.5,1625.33,1629.53,1321097.0,1548.1325,1434.61,1661.655,25.8742,9.9241,35.7983,66.756,117.4226,78.5714,0.0
2020-08-28,504.05,505.77,498.31,499.23,46907479.0,116.4708,104.3176,128.624,6.8794,0.399,6.4804,74.5261,112.0051,71.4286,7.1429,1629.47,1641.35,1625.605,1639.43,1121195.0,1540.794,1430.3334,1651.2546,23.3932,11.4651,34.8583,69.614,136.6498,85.7143,0.0
2020-08-27,508.57,509.94,495.33,500.04,38888096.0,115.5353,103.1484,127.9222,7.0108,0.6302,6.3806,75.1319,132.058,78.5714,14.2857,1646.61,1647.99,1618.8137,1628.52,1567503.0,1533.22,1430.3377,1636.1023,20.5269,11.6166,32.1435,68.2218,153.7084,92.8571,7.1429
2020-08-26,504.7165,507.97,500.33,506.09,40755567.0,114.0879,99.755,128.4208,7.0559,0.8328,6.2231,79.621,154.0648,85.7143,21.4286,1606.3,1652.79,1600.9754,1644.13,2609363.0,1528.7125,1435.4795,1621.9455,17.6227,11.699,29.3217,72.6437,190.7638,100.0,0.0
2020-08-25,498.79,500.7172,492.21,499.3,52873947.0,112.5078,96.9912,128.0244,6.8572,0.8423,6.0149,78.2678,144.8807,92.8571,0.0,1580.1,1608.88,1577.88,1605.85,1257463.0,1522.6815,1445.9477,1599.4153,14.698,9.0062,23.7042,67.9069,168.9804,100.0,0.0
2020-08-24,514.79,515.14,495.745,503.43,86484442.0,110.9233,94.2451,127.6016,6.6763,0.872,5.8043,81.3175,169.0874,100.0,0.0,1592.47,1608.78,1575.04,1585.15,1281893.0,1517.5715,1450.6935,1584.4495,12.4464,7.6406,20.0871,64.8509,187.7894,100.0,0.0
2020-08-21,477.05,499.472,477.0,497.48,84513660.0,109.3649,92.6539,126.0759,6.2434,0.6571,5.5863,80.2901,140.6477,100.0,0.0,1571.8,1591.88,1562.31,1575.57,1742275.0,1514.7855,1455.1502,1574.4208,10.5363,6.7494,17.2857,63.3511,188.6282,100.0,7.1429
2020-08-20,463.0,473.568,462.9335,473.1,31726797.0,107.7714,90.9282,124.6145,5.7512,0.3292,5.422,75.0748,89.708,100.0,0.0,1539.97,1580.17,1534.46,1576.25,1319131.0,1511.4175,1458.6852,1564.1498,8.8489,5.5853,14.4342,63.5298,189.437,100.0,0.0
2020-08-19,463.933,468.65,462.44,462.83,36384502.0,106.4935,89.101,123.8861,5.6588,0.3191,5.3397,72.1971,82.2707,100.0,0.0,1552.49,1568.86,1540.0,1544.61,1523592.0,1508.4425,1464.7352,1552.1498,7.4526,3.0628,10.5154,58.4693,166.558,100.0,7.1429
2020-08-18,457.41,464.0,456.03,462.25,26408385.0,105.5644,88.2121,122.9167,5.7196,0.4597,5.26,72.0278,80.3236,92.8571,0.0,1526.12,1557.37,1521.665,1555.78,1418850.0,1509.4545,1461.6949,1557.2141,6.6869,1.8952,8.5821,61.2556,137.9911,100.0,14.2857
2020-08-17,464.25,464.35,455.8501,458.43,29431414.0,104.629,87.4745,121.7835,5.7288,0.5837,5.145,70.9454,85.072,100.0,0.0,1515.97,1523.78,1505.0,1516.24,998010.0,1509.4615,1461.6747,1557.2483,6.2131,-1.3607,4.8525,54.0594,19.9139,14.2857,21.4286
2020-08-14,459.315,460.0,452.18,459.63,41391302.0,103.8088,87.0391,120.5785,5.7541,0.755,4.9991,71.7553,88.6876,92.8571,7.1429,1513.61,1519.785,1499.0,1504.63,1097059.0,1511.8415,1458.5205,1565.1625,6.5533,-2.5059,4.0474,51.6088,-10.0812,21.4286,28.5714
2020-08-13,457.72,464.17,455.71,460.04,52520516.0,102.8726,86.5571,119.1881,5.6724,0.862,4.8103,72.0161,103.9542,100.0,0.0,1508.21,1536.9744,1508.21,1516.65,1119711.0,1512.4525,1459.196,1565.709,7.1798,-3.0368,4.143,54.3984,30.7728,28.5714,35.7143
2020-08-12,441.99,453.1,441.19,452.04,41486205.0,101.9409,86.3468,117.5351,5.4751,0.8802,4.5948,70.0432,92.3864,71.4286,7.1429,1487.1245,1511.67,1485.0,1507.24,1126560.0,1512.366,1459.1314,1565.6006,7.9389,-4.958,2.981,52.5333,-30.3105,0.0,42.8571
2020-08-11,447.875,449.93,436.4267,437.5,46975594.0,101.169,86.2925,116.0456,5.3469,0.9721,4.3748,65.9972,87.292,78.5714,14.2857,1494.0,1510.44,1478.19,1480.54,1554853.0,1512.848,1459.6332,1566.0628,9.1784,-6.7659,2.4125,46.8002,-71.4888,7.1429,50.0
2020-08-10,450.4,455.1,440.0,450.91,53100856.0,100.5453,86.0238,115.0668,5.475,1.3432,4.1318,74.6292,118.8368,85.7143,21.4286,1490.8,1507.15,1477.4901,1496.82,1027329.0,1514.864,1463.6817,1566.0463,10.8699,-6.4995,4.3704,50.2355,-64.116,0.0,57.1429
2020-08-07,452.82,454.7,441.17,444.45,49511403.0,99.6755,86.0757,113.2753,5.2181,1.4221,3.7959,73.0526,136.5497,92.8571,28.5714,1509.04,1520.09,1486.27,1498.37,1386294.0,1515.6345,1465.1021,1566.1669,12.4948,-7.3465,5.1483,50.5637,-43.2867,7.1429,64.2857
2020-08-06,441.62,457.65,439.19,455.61,50607225.0,98.9084,86.233,111.5838,4.9784,1.538,3.4404,80.4714,179.2141,100.0,35.7143,1476.15,1506.27,1471.9,1504.95,1665261.0,1517.6665,1466.8071,1568.5259,14.3314,-8.423,5.9084,51.9,-72.4447,14.2857,71.4286
2020-08-05,437.51,441.57,435.59,440.25,30497988.0,98.0041,87.1746,108.8336,4.3379,1.282,3.0559,77.2902,190.3506,85.7143,42.8571,1476.82,1490.0,1471.215,1479.09,1457518.0,1518.352,1467.8282,1568.8758,16.4371,-10.3144,6.1227,46.7657,-131.912,21.4286,78.5714
2020-08-04,436.53,443.16,433.55,438.66,43198092.0,97.2707,87.7994,106.7421,3.8468,1.1114,2.7354,76.9289,254.2539,92.8571,50.0,1486.71,1493.11,1464.03,1473.3,1860609.0,1519.5775,1471.8086,1567.3464,19.0158,-10.0756,8.9402,45.5574,-156.9871,28.5714,85.7143
2020-08-03,432.8,446.5457,431.57,435.75,77037847.0,96.449,88.5678,104.3303,3.2044,0.7468,2.4575,76.2879,348.7861,100.0,57.1429,1491.0,1497.73,1471.72,1482.76,2276085.0,1520.4085,1475.3896,1565.4274,21.5346,-8.5389,12.9958,47.1821,-142.2346,35.7143,92.8571
2020-07-31,411.535,425.66,403.3,425.04,93573867.0,95.678,89.9635,101.3926,2.4116,0.1408,2.2708,73.8,319.3279,100.0,64.2857,1497.05,1505.02,1454.0,1487.95,4576382.0,1521.253,1478.5148,1563.9912,23.6694,-6.6494,17.02,48.0551,-156.7523,42.8571,100.0
2020-07-30,376.75,385.19,375.07,384.76,39532505.0,94.9191,91.1138,98.7245,1.6363,-0.5993,2.2356,58.648,8.0997,7.1429,71.4286,1497.97,1540.89,1495.17,1538.37,1802121.0,1520.352,1474.2186,1566.4854,25.3317,-3.9514,21.3803,57.6835,25.2477,50.0,14.2857
2020-07-29,375.0,380.92,374.85,380.16,22582314.0,94.6619,90.4669,98.857,1.6447,-0.7408,2.3855,55.9463,-14.0134,14.2857,78.5714,1505.0,1533.33,1503.01,1523.51,1133773.0,1515.5335,1458.98,1572.087,26.3196,-4.8186,21.501,55.2285,19.7541,57.1429,21.4286
2020-07-28,377.47,378.1986,372.99,373.01,25906375.0,94.4706,89.9629,98.9784,1.748,-0.8226,2.5707,51.3596,-39.8842,21.4286,85.7143,1525.0,1526.01,1500.52,1503.65,1545534.0,1510.2605,1439.7271,1580.7939,27.5242,-4.6689,22.8554,51.755,3.8542,64.2857,28.5714
2020-07-27,374.84,379.62,373.92,379.24,30303548.0,94.3307,89.4788,99.1827,2.0359,-0.7405,2.7763,56.0841,-7.2444,28.5714,92.8571,1513.26,1537.56,1512.33,1529.43,1356185.0,1504.9365,1418.8509,1591.0221,28.6914,-2.4178,26.2737,57.0942,50.2526,71.4286,35.7143
2020-07-24,363.95,371.88,356.58,370.46,46359716.0,94.0117,88.4517,99.5718,2.2156,-0.7458,2.9614,50.074,-76.8662,35.7143,100.0,1499.19,1515.4273,1487.59,1508.21,1495381.0,1496.592,1391.3894,1601.7946,29.2959,-1.6662,27.6296,53.4215,14.4983,78.5714,0.0
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0,93.9418,88.2626,99.6209,2.6355,-0.5123,3.1479,50.7498,-9.488,42.8571,0.0,1565.93,1570.35,1508.59,1516.75,1695498.0,1493.2365,1385.4802,1600.9928,29.7124,1.4066,31.119,55.1869,61.7039,85.7143,0.0
2020-07-22,386.77,391.9,386.41,389.09,22250413.0,93.8008,87.8531,99.7484,3.1098,-0.1661,3.276,66.8845,77.978,50.0,7.1429,1555.71,1566.98,1543.23,1564.85,1224100.0,1489.034,1378.7474,1599.3206,29.3608,4.8898,34.2506,66.7177,105.1334,92.8571,0.0
2020-07-21,396.69,397.0,386.97,388.0,25627347.0,93.5198,87.6589,99.3806,3.2208,-0.0967,3.3175,66.2716,95.685,57.1429,0.0,1585.03,1587.05,1552.62,1555.92,1328089.0,1483.9905,1378.9319,1589.0491,28.1383,4.7137,32.852,65.4741,126.0362,100.0,0.0
2020-07-20,385.67,394.0,384.25,393.43,22397208.0,93.1569,87.2193,99.0946,3.3432,0.0015,3.3417,72.476,104.9546,64.2857,0.0,1515.0,1569.01,1502.7,1563.84,1490634.0,1478.7275,1378.1595,1579.2955,26.9599,4.5383,31.4983,67.5529,108.4951,64.2857,0.0
2020-07-17,387.95,388.59,383.36,385.31,23046755.0,92.6125,86.5579,98.6671,3.3131,-0.0282,3.3413,68.3632,85.2388,71.4286,7.1429,1516.91,1523.43,1498.1,1516.85,1713251.0,1471.7675,1376.6022,1566.9328,25.8253,2.6805,28.5058,60.674,68.3616,71.4286,7.1429
